text,label
"City officials announced the opening of three new public parks in underserved neighborhoods. The parks feature playgrounds walking trails and community gardens funded through a federal green spaces grant.",REAL
"DANGEROUS: Listening to classical music backwards summons demons! A viral post claims that composers like Mozart and Beethoven hid satanic messages in their symphonies that are activated by reverse playback.",FAKE
"The technology company unveiled its latest smartphone featuring improved battery life and advanced camera capabilities. Pre orders exceeded expectations with over one million units reserved in the first 24 hours.",REAL
"YOUR CAR GPS IS LEADING YOU INTO GOVERNMENT TRAPS: Conspiracy theorists claim that navigation systems are programmed to route drivers past surveillance checkpoints for facial recognition scanning.",FAKE
"International health organizations reported significant progress in malaria prevention with a 25 percent reduction in cases across Sub-Saharan Africa attributed to increased distribution of treated bed nets.",REAL
"SCIENTISTS CONFIRM: Reading this article will increase your IQ by 50 points! Obviously fake clickbait headline designed to generate ad revenue through misleading claims about cognitive enhancement.",FAKE
"The renewable energy startup secured 50 million dollars in Series B funding to expand its solar panel manufacturing operations. The investment will create 300 new jobs at the companys production facility.",REAL
"ALERT: Indoor plants are releasing toxic gases that cause hallucinations! A bogus study claims that common houseplants like ferns and spider plants are secretly poisoning millions of unsuspecting homeowners.",FAKE
"Voter registration for the upcoming municipal elections has increased by 12 percent compared to the previous cycle. Election officials attribute the rise to new online registration options and community outreach programs.",REAL
"SHOCKING TRUTH: The Internet was invented by time travelers from the future who came back to change the course of human history! A science fiction writer presents this as factual news.",FAKE
"The national highway safety board reported a 7 percent decrease in traffic fatalities this year. Officials credited improved vehicle safety features and increased enforcement of distracted driving laws for the decline.",REAL
"MIRACLE DISCOVERY: Staring at the sun for 10 minutes a day cures poor eyesight! Extremely dangerous medical misinformation continues to spread on social media despite warnings from ophthalmologists.",FAKE
"The agriculture department approved three new drought resistant crop varieties developed through a decade of research. Farmers in arid regions will begin planting the new varieties in the coming season.",REAL
"GOVERNMENT WHISTLEBLOWER: The alphabet is being changed secretly to include subliminal messages! Letters are allegedly being redesigned to influence how people think and vote in elections.",FAKE
"Small business lending increased by 20 percent last quarter as banks eased credit requirements. The Small Business Administration reported that startups in technology and healthcare sectors received the most funding.",REAL
"REVEALED: Dogs can actually speak English but choose not to because they are secretly judging their owners! A satirical article is shared as real news by thousands of gullible readers.",FAKE
"The environmental cleanup of the contaminated industrial site has been completed ahead of schedule. Soil and water testing confirmed that pollution levels have been reduced to safe standards for residential use.",REAL
"TERRIFYING PREDICTION: Psychic warns that the ocean will turn purple next month due to a cosmic alignment! Zero scientific evidence supports this absurd claim that somehow gained millions of views online.",FAKE
"Public transit ridership increased by 22 percent following the introduction of reduced fare programs for students and seniors. The transit authority plans to add more routes based on the growing demand.",REAL
"BREAKING: Popular breakfast cereal found to contain tracking nanobots! A anonymous lab that nobody can verify claims to have found microscopic robots in every box of a well known cereal brand.",FAKE
